ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
A01368,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Zoom,Agile,,Korean,Technology
A01369,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Slack,Waterfall,,Korean,Technology
A01371,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Company Project,Long-Term,Microsoft Teams,Waterfall,AWS Certified,Korean,Education
A01376,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Short-Term,Slack,Agile,AWS Certified,English,Healthcare
A01377,6,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Mobile app,Short-Term,Microsoft Teams,Agile,PMP,English,Finance
A01383,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Full-Time,Slack,Waterfall,AWS Certified,English,Education
A01385,9,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Part-Time,Zoom,Waterfall,PMP,English,Healthcare
A01386,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Part-Time,Zoom,Waterfall,,English,Healthcare
A01388,12,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Mobile app,Freelancer,Slack,Agile,PMP,English,Education
A01389,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Part-Time,Microsoft Teams,Waterfall,,English,Healthcare
A01390,5,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Open Source Contribution,Part-Time,Slack,Waterfall,PMP,Korean,Healthcare
A01391,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Part-Time,Microsoft Teams,Waterfall,PMP,English,Healthcare
A01392,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Freelancer,Microsoft Teams,Agile,PMP,English,Finance
A01393,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Freelancer,Slack,Agile,,English,Education
A01397,4,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Open Source Contribution,Freelancer,Microsoft Teams,Waterfall,AWS Certified,English,Technology
A01400,3,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Mid-Term,Microsoft Teams,Waterfall,,English,Finance
A01402,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Full-Time,Slack,Waterfall,AWS Certified,English,Finance
A01405,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Full-Time,Zoom,Waterfall,PMP,English,Technology
A01412,8,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Company Project,Part-Time,Slack,Agile,PMP,English,Education
A01413,10,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,,English,Finance
A01417,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Full-Time,Zoom,Agile,PMP,Korean,Healthcare
A01418,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Freelancer,Slack,Agile,,English,Healthcare
A01419,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Full-Time,Zoom,Agile,PMP,English,Education
A01420,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Open Source Contribution,Mid-Term,Microsoft Teams,Agile,AWS Certified,English,Finance
A01423,13,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Open Source Contribution,Long-Term,Zoom,Waterfall,PMP,English,Technology
A01427,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Part-Time,Slack,Agile,AWS Certified,English,Finance
A01428,5,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Open Source Contribution,Long-Term,Zoom,Agile,,English,Education
A01430,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,AWS Certified,Korean,Finance
A01435,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Long-Term,Slack,Waterfall,PMP,English,Healthcare
A01437,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Open Source Contribution,Freelancer,Slack,Waterfall,AWS Certified,English,Education
A01442,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Full-Time,Slack,Waterfall,PMP,English,Finance
A01444,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Mid-Term,Microsoft Teams,Agile,,English,Finance
A01446,1,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development - Web Development - Data Engineer,Company Project,Part-Time,Slack,Waterfall,AWS Certified,English,Technology
A01447,3,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Freelancer,Microsoft Teams,Waterfall,PMP,English,Technology
A01450,5,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Part-Time,Zoom,Waterfall,,English,Healthcare
A01451,9,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Full-Time,Zoom,Waterfall,,English,Finance
A01456,3,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Freelancer,Microsoft Teams,Agile,AWS Certified,English,Technology
A01458,11,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Short-Term,Slack,Waterfall,PMP,Korean,Technology
A01459,7,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Part-Time,Microsoft Teams,Agile,PMP,English,Finance
A01462,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Short-Term,Zoom,Agile,PMP,English,Finance
A01464,8,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Full-Time,Microsoft Teams,Agile,AWS Certified,Korean,Healthcare
A01467,5,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Company Project,Full-Time,Slack,Agile,,English,Technology
A01470,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Full-Time,Zoom,Agile,AWS Certified,English,Finance
A01472,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,E-commerce platform,Mid-Term,Slack,Agile,PMP,English,Technology
A01473,15,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,,English,Healthcare
A01477,2,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Freelancer,Slack,Waterfall,AWS Certified,English,Technology
A01478,3,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Company Project,Mid-Term,Slack,Agile,,Korean,Education
A01480,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Freelancer,Zoom,Waterfall,PMP,English,Finance
A01483,10,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Full-Time,Slack,Waterfall,PMP,English,Technology
A01486,3,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Cloud infrastructure,Long-Term,Microsoft Teams,Agile,,English,Technology
A01493,6,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Long-Term,Microsoft Teams,Agile,PMP,English,Healthcare
A01496,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Waterfall,,English,Finance
A01498,13,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Company Project,Part-Time,Zoom,Waterfall,AWS Certified,English,Healthcare
A01500,10,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Cloud infrastructure,Freelancer,Slack,Waterfall,,Korean,Healthcare
A01503,15,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Freelancer,Microsoft Teams,Agile,,English,Finance
A01505,4,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Freelancer,Zoom,Waterfall,AWS Certified,English,Finance
A01506,9,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,Open Source Contribution,Part-Time,Zoom,Waterfall,PMP,English,Healthcare
A01507,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Long-Term,Microsoft Teams,Waterfall,,English,Finance
A01509,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Mobile app,Short-Term,Slack,Agile,AWS Certified,English,Education
A01510,3,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Mid-Term,Zoom,Waterfall,PMP,Korean,Technology
A01511,6,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Cloud infrastructure,Freelancer,Slack,Waterfall,,English,Healthcare
A01512,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Agile,AWS Certified,English,Healthcare
A01514,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Part-Time,Slack,Agile,AWS Certified,English,Education
A01516,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,E-commerce platform,Full-Time,Microsoft Teams,Waterfall,AWS Certified,English,Education
A01517,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Full-Time,Microsoft Teams,Waterfall,,English,Education
A01518,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Freelancer,Microsoft Teams,Waterfall,PMP,English,Healthcare
A01520,14,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Cloud infrastructure,Long-Term,Zoom,Agile,PMP,English,Education
A01521,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Zoom,Waterfall,PMP,English,Healthcare
A01523,2,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Long-Term,Microsoft Teams,Agile,,English,Technology
A01525,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Freelancer,Microsoft Teams,Agile,PMP,English,Education
A01527,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Freelancer,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
A01528,3,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Mid-Term,Microsoft Teams,Waterfall,,English,Education
A01532,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Open Source Contribution,Part-Time,Zoom,Waterfall,AWS Certified,Korean,Healthcare
A01535,11,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Mobile app,Long-Term,Slack,Agile,AWS Certified,English,Healthcare
A01542,4,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Freelancer,Slack,Agile,,English,Healthcare
A01548,1,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Agile,AWS Certified,English,Finance
A01549,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,,English,Finance
A01550,8,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Mid-Term,Slack,Waterfall,,English,Finance
A01551,13,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Freelancer,Microsoft Teams,Agile,AWS Certified,English,Education
A01553,2,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,E-commerce platform,Long-Term,Microsoft Teams,Agile,AWS Certified,Korean,Education
A01554,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Open Source Contribution,Mid-Term,Slack,Agile,PMP,English,Finance
A01556,12,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Mid-Term,Slack,Agile,AWS Certified,Korean,Healthcare
A01558,6,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Freelancer,Zoom,Agile,,English,Finance
A01561,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Company Project,Long-Term,Zoom,Waterfall,AWS Certified,Korean,Healthcare
A01562,13,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Long-Term,Zoom,Waterfall,AWS Certified,English,Healthcare
A01563,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Short-Term,Zoom,Agile,,English,Healthcare
A01572,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Full-Time,Zoom,Agile,AWS Certified,English,Education
A01573,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Mid-Term,Microsoft Teams,Agile,PMP,English,Healthcare
A01575,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Mid-Term,Zoom,Waterfall,AWS Certified,English,Technology
A01577,13,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Mid-Term,Zoom,Waterfall,,Korean,Technology
A01578,15,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Freelancer,Slack,Waterfall,,English,Healthcare
A01583,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Education
A01585,12,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Freelancer,Zoom,Waterfall,,English,Healthcare
A01586,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Long-Term,Microsoft Teams,Waterfall,PMP,Korean,Finance
A01587,5,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Short-Term,Slack,Waterfall,,English,Healthcare
A01588,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Zoom,Agile,PMP,English,Healthcare
A01589,6,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Open Source Contribution,Part-Time,Slack,Waterfall,AWS Certified,English,Education
A01593,3,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Company Project,Full-Time,Slack,Waterfall,AWS Certified,English,Technology
A01597,7,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,,English,Education
A01599,10,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,Company Project,Part-Time,Slack,Waterfall,PMP,English,Healthcare
A01600,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Part-Time,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
A01601,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,English,Healthcare
A01605,7,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Cloud infrastructure,Short-Term,Slack,Waterfall,,English,Finance
A01607,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Mid-Term,Slack,Agile,AWS Certified,Korean,Finance
A01611,4,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Mobile app,Long-Term,Zoom,Agile,AWS Certified,English,Technology
A01612,15,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Long-Term,Zoom,Agile,PMP,English,Healthcare
A01614,9,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Slack,Waterfall,AWS Certified,Korean,Finance
A01616,10,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Open Source Contribution,Full-Time,Microsoft Teams,Agile,AWS Certified,Korean,Finance
A01618,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Mid-Term,Zoom,Agile,PMP,English,Education
A01621,12,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development - Web Development - Data Engineer,Company Project,Long-Term,Zoom,Waterfall,AWS Certified,English,Technology
A01622,4,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Open Source Contribution,Long-Term,Slack,Agile,,English,Technology
A01626,11,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Open Source Contribution,Full-Time,Slack,Waterfall,PMP,English,Healthcare
A01628,1,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Long-Term,Slack,Agile,PMP,Korean,Technology
A01630,9,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Long-Term,Slack,Agile,PMP,English,Education
A01632,13,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,E-commerce platform,Full-Time,Zoom,Waterfall,PMP,English,Technology
A01633,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Agile,,Korean,Finance
A01635,5,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Mobile app,Short-Term,Microsoft Teams,Agile,PMP,English,Education
A01639,15,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Long-Term,Slack,Waterfall,AWS Certified,English,Education
A01640,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Short-Term,Zoom,Agile,,Korean,Finance
A01643,13,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Full-Time,Microsoft Teams,Waterfall,,English,Healthcare
A01646,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Full-Time,Slack,Agile,,English,Education
A01647,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Part-Time,Slack,Waterfall,,English,Healthcare
A01649,11,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,E-commerce platform,Full-Time,Slack,Waterfall,,English,Technology
A01651,3,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Part-Time,Slack,Agile,,English,Finance
A01652,3,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Open Source Contribution,Mid-Term,Slack,Agile,PMP,Korean,Technology
A01653,3,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Mobile app,Full-Time,Microsoft Teams,Agile,,English,Healthcare
A01655,13,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development - Web Development - Data Engineer,Mobile app,Short-Term,Slack,Agile,,English,Finance
A01656,8,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Zoom,Agile,PMP,English,Education
A01667,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Microsoft Teams,Waterfall,PMP,English,Technology
A01671,8,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Cloud infrastructure,Part-Time,Microsoft Teams,Waterfall,AWS Certified,English,Technology
A01672,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,English,Finance
A01676,3,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Short-Term,Zoom,Agile,,English,Healthcare
A01677,9,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development - Web Development - Data Engineer,Open Source Contribution,Short-Term,Microsoft Teams,Waterfall,,English,Technology
A01678,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Freelancer,Zoom,Agile,AWS Certified,English,Education
A01681,14,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Full-Time,Zoom,Agile,AWS Certified,English,Healthcare
A01682,2,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Company Project,Short-Term,Microsoft Teams,Waterfall,PMP,Korean,Education
A01683,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Waterfall,,English,Healthcare
A01684,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Part-Time,Slack,Waterfall,AWS Certified,English,Education
A01687,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Full-Time,Zoom,Agile,,English,Healthcare
A01692,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Finance
A01694,9,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,Cloud infrastructure,Freelancer,Slack,Agile,AWS Certified,English,Education
A01696,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Short-Term,Microsoft Teams,Agile,PMP,English,Healthcare
A01698,7,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Cloud infrastructure,Part-Time,Slack,Waterfall,,English,Healthcare
A01701,5,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Company Project,Freelancer,Microsoft Teams,Agile,PMP,English,Healthcare
A01703,4,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Part-Time,Slack,Waterfall,AWS Certified,English,Education
A01704,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Mid-Term,Zoom,Agile,AWS Certified,English,Technology
A01706,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Long-Term,Slack,Agile,PMP,English,Education
A01707,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Open Source Contribution,Long-Term,Microsoft Teams,Agile,,English,Healthcare
A01708,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Open Source Contribution,Short-Term,Microsoft Teams,Agile,,English,Finance
A01710,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Mobile app,Part-Time,Zoom,Agile,AWS Certified,English,Technology
A01711,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Freelancer,Slack,Agile,AWS Certified,English,Finance
A01715,13,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,AWS Certified,English,Finance
A01717,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Company Project,Part-Time,Microsoft Teams,Waterfall,,English,Finance
A01718,7,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Company Project,Freelancer,Zoom,Agile,,English,Finance
A01723,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Short-Term,Zoom,Waterfall,,English,Education
A01729,2,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Waterfall,PMP,English,Healthcare
A01734,15,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Microsoft Teams,Waterfall,PMP,English,Finance
A01735,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Cloud infrastructure,Freelancer,Zoom,Agile,AWS Certified,English,Finance
A01742,1,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,E-commerce platform,Part-Time,Slack,Waterfall,,Korean,Finance
A01743,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Cloud infrastructure,Freelancer,Slack,Waterfall,,English,Education
A01745,9,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Freelancer,Zoom,Agile,PMP,English,Education
A01748,13,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Open Source Contribution,Full-Time,Slack,Waterfall,,English,Education
A01753,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Short-Term,Slack,Agile,,English,Healthcare
A01754,10,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Full-Time,Microsoft Teams,Waterfall,PMP,English,Education
